"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"40","Travis Etienne Jr.","RB","JAC","15.6","14.9","11.6","18.5","5.8","5.5","5.5","BYE","11.5","13.7","19.3","17.6","4.1","","","","","","12","143.6"
"41","Amon-Ra St. Brown","WR","DET","4.5","30.2","13.7","19","10","4.7","14.6","BYE","9.7","11.8","4.2","20.9","0","","","","","","11.9","143.3"
"42","Breece Hall","RB","NYJ","14.5","3.8","5.2","11.1","13.5","5.9","5.2","30.9","BYE","18.5","6.4","9.9","13.6","","","","","","11.5","138.5"
"43","Puka Nacua","WR","LAR","13.1","19.6","11.8","23","14.5","2.8","-","BYE","15.8","12.4","7.3","9.7","7.2","","","","","","12.5","137.2"
"44","Mac Jones","QB","SF","-","21.8","14.3","-","22.2","13.2","6.2","19","15.8","24.1","-0.3","-","0.2","","","","","","13.6","136.3"
"45","C.J. Stroud","QB","HOU","9.7","15","12.4","18.4","28.8","BYE","14.7","22.7","4.4","-","-","-","10","","","","","","15.1","136"
"46","Trey McBride","TE","ARI","6.1","7.8","10.3","5.2","4.1","13.2","19.4","BYE","11.5","18.7","17.5","7.9","14.2","","","","","","11.3","135.9"
"47","Ashton Jeanty","RB","LV","10","4.4","6.3","31.5","10.9","14.6","3.4","BYE","14.9","12.3","3.4","16.8","6.1","","","","","","11.2","134.6"
"48","Saquon Barkley","RB","PHI","14.4","15.4","5.5","13.4","14.8","6.7","4.2","29.4","BYE","10.1","9","5.4","5.6","","","","","","11.2","133.9"
"49","D'Andre Swift","RB","CHI","6.5","10.9","7.8","12","BYE","23.5","19.8","13.1","-","9.8","9","0.9","19.8","","","","","","12.1","133.1"
"50","Seattle Seahawks","DST","SEA","8","14","16","11","-3","11","9","BYE","9","21","2","4","30","","","","","","11","132"
"51","Quinshon Judkins","RB","CLE","-","7.1","15.5","17.5","12.8","3.6","26.4","1.7","BYE","8.5","5.9","16.7","12.9","","","","","","11.7","128.6"
"52","Ja'Marr Chase","WR","CIN","2.6","22.5","3.9","2.3","23","15.1","22.1","9.1","11.1","BYE","3","-","11","","","","","","11.4","125.7"
"53","Michael Penix Jr.","QB","ATL","24","5.3","5.8","19.7","BYE","14.6","12.2","-","22.7","11","7.9","-","-","","","","","","13.7","123.3"
"54","Cam Ward","QB","TEN","2.5","9.8","13","5.5","9","7.9","11.2","13.8","6.4","BYE","13.1","23.9","6.3","","","","","","10.2","122.3"
"55","Brandon Aubrey","K","DAL","11","22","8","8","7","9","17","6","5","BYE","9","7","12","","","","","","10.1","121"
"55","Cameron Dicker","K","LAC","9","8","12","5","6","17","7","15","11","14","8","BYE","9","","","","","","10.1","121"
"57","Chase Brown","RB","CIN","11.1","6.5","2","7.1","4.8","6.9","10","22.5","11.2","BYE","12.7","13","11.3","","","","","","9.9","119.1"
"58","Tetairoa McMillan","WR","CAR","6.8","10","4.8","6.2","7.3","14.9","3.3","9.9","4.6","6","25","9.5","10.3","","","","","","9.1","118.6"
